maincate,subcate,title,ranking,oprice,sprice,Fed
신발/잡화,ALL,플랫 샌들 미들굽 스트랩 웨지 힐 통굽 여름 여자여성,6,52600,15800,무료배송
신발/잡화,ALL,[세스띠]CESTI 여화 42종 클리어런스 쿠폰사용가능,7,41800,20900,무료배송
e쿠폰/티켓,ALL,[투썸플레이스](스마일클럽) 스트로베리 초콜릿 생크림,16,34000,30500,유료배송
e쿠폰/티켓,ALL,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,17,30000,29100,유료배송
e쿠폰/티켓,ALL,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,18,10000,9700,유료배송
e쿠폰/티켓,ALL,(아웃백/빕스)Pays 외식/카페 결합 금액권 5만원권,19,50000,46000,유료배송
e쿠폰/티켓,ALL,[에그머니](카드가능)(에그머니) 온라인 게임상품권 3만원,20,30000,27000,유료배송
e쿠폰/티켓,ALL,[에쓰오일](S-OIL) 모바일 주유권 3만원권,21,30000,29100,유료배송
e쿠폰/티켓,ALL,[GS수퍼마켓](GS수퍼마켓)금액상품권2만원,22,20000,18900,유료배송
e쿠폰/티켓,ALL,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,23,200000,194000,유료배송
도서/음반,ALL,볼 빨간 로타의 비밀 전15권(독일180만부 판매/전 세계 25개국 출간/슈피겔 선정 베스트셀러 어린이 책),20,180000,180000,무료배송
도서/음반,ALL,니키의 도크 다이어리 세트 (전14권+다이어리만들기 1권) / 맥스 크럼블리 2권 : 옵션선택,21,334280,167140,무료배송
도서/음반,ALL,[사파리]신나게 놀자 시리즈 8권 낱권 선택구매 (뽀뽀를하면/콩이쑥쑥 외 총8권),22,11000,9000,유료배송
도서/음반,ALL,보림 유럽 전역을 휩쓴 팝업북 (전3권),23,64000,62000,무료배송
도서/음반,ALL,[EBS교육방송]2020년 2학기 EBS 초등 기본서 만점왕 세트 학년별 선택구매,24,56000,46000,무료배송
도서/음반,ALL,(북멘토)수상한 시리즈 전7권(수상한 아파트+우리반+학원+친구집+식당+편의점+도서관),25,77000,71500,무료배송
여행,ALL,|호텔위크|메리어트관 제주신화월드 호텔앤리조트(제주 호텔/서귀포/서귀포시/중문/표선/성산),20,140030,140030,유료배송
여행,ALL,삼척 쏠비치리조트 쏠비치호텔 쏠비치콘도 삼척호텔 솔비치 쏠비치 대명쏠비치,21,135000,135000,유료배송
여행,ALL,|강원 원주시| 오크밸리리조트(오크밸리/강원도원주오크밸리/원주 오크밸리/한솔오크벨리/오크벨리리조트),22,96000,93120,유료배송
여행,ALL,(공식판매처) 에버랜드 종일이용권+Q패스 3종+1만원 상품권(7/1~7/31),23,81000,55000,무료배송
여행,ALL,(문자발송) 김해 롯데워터파크 얼리버드 종일이용권(7/10~7/24),24,75000,32900,유료배송
여행,ALL,"|최대 10만원 할인||경기 호텔| 롤링힐스 호텔 (동탄,화성,오산,병점)",25,142290,133770,유료배송
여행,ALL,|강원 속초시| 현대수리조트 속초(강원도콘도/강원도 콘도/강원콘도/강원 콘도/현대수/속초콘도),26,50850,49330,유료배송
ALL,ALL,[스팸]스팸 클래식 340g 10개,51,32900,32900,스마일배송
ALL,ALL,[고려은단]고려은단 아연비타민C 150정 2박스(10개월분),52,32900,32900,스마일배송
ALL,ALL,[네파](신세계의정부점)네파 NEPA[역시즌] 남성여성 아리아 구스 다운재킷 7F72002 7F82002(정상가159 000),53,50000,36500,무료배송
